fecha;hora;sexo;emocion;porcentaje;curso;grado;materia;temperatura
26-08-2025;0:01:44;Hombre;miedo;1.48;media;3-medio;filosofia;14.3
26-08-2025;0:01:44;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:45;Hombre;feliz;97.43;media;3-medio;filosofia;14.3
26-08-2025;0:01:45;Hombre;triste;0.25;media;3-medio;filosofia;14.3
26-08-2025;0:01:45;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:45;Hombre;neutral;2.04;media;3-medio;filosofia;14.3
26-08-2025;0:01:45;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:45;Hombre;miedo;0.29;media;3-medio;filosofia;14.3
26-08-2025;0:01:45;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:46;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:46;Hombre;triste;3.25;media;3-medio;filosofia;14.3
26-08-2025;0:01:46;Hombre;enojado;0.07;media;3-medio;filosofia;14.3
26-08-2025;0:01:46;Hombre;neutral;95.56;media;3-medio;filosofia;14.3
26-08-2025;0:01:46;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:46;Hombre;miedo;1.11;media;3-medio;filosofia;14.3
26-08-2025;0:01:46;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:47;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:47;Hombre;triste;2.18;media;3-medio;filosofia;14.3
26-08-2025;0:01:47;Hombre;enojado;0.06;media;3-medio;filosofia;14.3
26-08-2025;0:01:47;Hombre;neutral;97.05;media;3-medio;filosofia;14.3
26-08-2025;0:01:47;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:47;Hombre;miedo;0.71;media;3-medio;filosofia;14.3
26-08-2025;0:01:47;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:48;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:48;Hombre;triste;2.6;media;3-medio;filosofia;14.3
26-08-2025;0:01:48;Hombre;enojado;0.07;media;3-medio;filosofia;14.3
26-08-2025;0:01:48;Hombre;neutral;97.26;media;3-medio;filosofia;14.3
26-08-2025;0:01:48;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:48;Hombre;miedo;0.07;media;3-medio;filosofia;14.3
26-08-2025;0:01:48;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:49;Hombre;feliz;94.66;media;3-medio;filosofia;14.3
26-08-2025;0:01:49;Hombre;triste;0.04;media;3-medio;filosofia;14.3
26-08-2025;0:01:49;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:49;Hombre;neutral;5.26;media;3-medio;filosofia;14.3
26-08-2025;0:01:49;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:49;Hombre;miedo;0.04;media;3-medio;filosofia;14.3
26-08-2025;0:01:49;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:50;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:50;Hombre;triste;11.79;media;3-medio;filosofia;14.3
26-08-2025;0:01:50;Hombre;enojado;0.89;media;3-medio;filosofia;14.3
26-08-2025;0:01:50;Hombre;neutral;86.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:50;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:50;Hombre;miedo;1.32;media;3-medio;filosofia;14.3
26-08-2025;0:01:50;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:51;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:51;Hombre;triste;0.27;media;3-medio;filosofia;14.3
26-08-2025;0:01:51;Hombre;enojado;1.46;media;3-medio;filosofia;14.3
26-08-2025;0:01:51;Hombre;neutral;97.85;media;3-medio;filosofia;14.3
26-08-2025;0:01:51;Hombre;sorpresa;0.13;media;3-medio;filosofia;14.3
26-08-2025;0:01:51;Hombre;miedo;0.29;media;3-medio;filosofia;14.3
26-08-2025;0:01:51;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:53;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:53;Hombre;triste;41.3;media;3-medio;filosofia;14.3
26-08-2025;0:01:53;Hombre;enojado;1.41;media;3-medio;filosofia;14.3
